index,Category,Name,Author,KeyWords,soup
0,Religious,AmaWathura,Gurulugomi,"['gurulugomi', 'gatapada', 'parani', 'pali', 'attakatha']",gurulugomi gatapada parani pali attakatha
1,Religious,ButhSarana,Widyachakrawarthin,"['widyachakrawarthin', 'jathaka', 'weerakatha', 'parani', 'tharasaya']",widyachakrawarthin jathaka weerakatha parani tharasaya
2,Religious,Paramartha Wibagaya Sahitha Winayopadeshaya,Witiyala Sri Sarananda Maha Sthawira,"['upadesha', 'winayakarma', 'poojakrama', 'daramaya', 'sralabasa']",upadesha winayakarma poojakrama daramaya sralabasa
3,Religious,Pachna Prabha,Thrikunamalaye Ananda Sthawira,"['prachnawa', 'weerya', 'arisenahubudu', 'samajaya', 'nirwanayaawabodaya']",prachnawa weerya arisenahubudu samajaya nirwanayaawabodaya
4,Religious,Budu Dahama Ha Buddagama,M.M.J Marasingha,"['parinirwanaya', 'bauddaithihasaya', 'ethihasikasthana', 'poojakrama', 'wandanakrama']",parinirwanaya bauddaithihasaya ethihasikasthana poojakrama wandanakrama
5,Religious,Datawanshaya,Mahadharya Wagama Piyarathana Himi,"['indiya', 'lankawa', 'ethihasikasthana', 'dladamaligawa', 'rajakatha']",indiya lankawa ethihasikasthana dladamaligawa rajakatha
6,Religious,Maha Bodhi Wansha Granthi Padaya,Gathare Dammapala Himi,"['buudacharithaya', 'sinhala', 'srimahabodiya', 'wanshakatha', 'pali']",buudacharithaya sinhala srimahabodiya wanshakatha pali
7,Religious,Pansiya Panas Jathaka Katha Potha Saha Gatum Nirakaranaya,Sarath Hettiarachchi Piyanama,"['gatum', 'jathakakatha', 'smajaya', 'indiya', 'deshapalanika']",gatum jathakakatha smajaya indiya deshapalanika
8,Religious,Sahana,Dawamottawe Himi,"['nuwana', 'mawa', 'adaraya', 'saralbasa', 'diyunuweemekrama']",nuwana mawa adaraya saralbasa diyunuweemekrama
9,Religious,Baudda Darshanaya Adyanaya,Mahacharya Akirigala Nanda Himi,"['saradarma', 'bauudadarshanaya', 'nirwanaya', 'karmaya', 'gaburudarmaya']",saradarma bauudadarshanaya nirwanaya karmaya gaburudarmaya
10,Religious,Chaththalisakara Maha Wipassana Bawanawa,Rerukane Chandawimala Maha Sthawira,"['rerukanechandawimalamahasthawira', 'bawana', 'karmaya', 'nirwanaya', 'anithya']",rerukanechandawimalamahasthawira bawana karmaya nirwanaya anithya
